Timestamp,Temperatura,Humedad
,28,86
,28,87
,28,86
,28,87
,28,89
,28,89
,28,89
,27,90
,28,86
,27,84
,27,79
,28,77
,28,76
,27,75
,27,74
,27,74
,28,78
,28,84
,28,80
,28,81
,28,84
,27,86
,27,87
,27,87
,27,87
,27,88
,27,88
,27,88
,27,88
,27,88
,27,87
,27,87
,27,87
,27,86
,27,87
,28,86
,28,84
,28,83
,28,81
,28,81
,28,87
,28,84
,28,84
,27,87
,27,89
,27,88
,27,88
,28,89
,28,89
,28,90
,28,90
,28,91
,28,91
,28,91
,28,90
,28,90
,28,90
,27,89
,27,89
,27,88
,27,86
,28,85
,28,84
,28,86
,27,92
,28,87
,27,89
,27,89
,27,89
,27,91
,28,88
,28,88
,27,88
,27,88
,27,87
,27,87
,27,87
,27,86
,27,84
,27,84
,27,86
,28,87
,27,82
,27,76
,28,74
,27,71
,27,69
,27,70
,28,73
,27,82
,27,88
,27,90
,27,94
,27,95
,27,92
,27,92
,27,91
,27,93
,27,94
,27,94
,27,96
,27,95
,27,94
,27,94
,27,87
,27,84
,27,78
,27,71
,28,71
,28,71
,27,72
,27,78
,28,88
,27,93
,28,95
,28,97
,27,97
,27,97
,27,96
,27,96
,27,96
,27,96
,27,95
,27,96
,28,97
,28,96
,28,96
,28,96
,27,94
,27,93
,27,93
,28,92
,28,90
,28,89
,28,88
,28,88
,28,89
,28,90
,28,91
,28,90
,28,87
,28,87
,28,84
,28,84

